0.00000, 0.00000, 0.00000, 1.00000, 0.00000, 0.00000, 0.00000
0.00418, 0.01131, -0.02889, 0.99951, 0.08542, 0.00443, 0.01567
0.00279, 0.01834, -0.05199, 0.99848, 0.17571, 0.01004, 0.02024
0.00141, 0.02383, -0.06393, 0.99767, 0.26467, 0.01897, 0.01962
-0.00226, 0.02637, -0.06788, 0.99734, 0.34786, 0.02789, 0.01485
-0.00712, 0.02138, -0.06839, 0.99740, 0.43878, 0.04337, 0.01212
-0.01081, 0.01213, -0.05900, 0.99813, 0.52981, 0.06659, 0.01073
-0.00604, 0.01417, -0.04061, 0.99906, 0.59506, 0.07360, 0.02091
-0.00158, 0.01456, -0.02859, 0.99948, 0.65487, 0.08767, 0.03095
0.00340, 0.01095, -0.02198, 0.99969, 0.72368, 0.11528, 0.05120
0.00220, 0.00866, -0.02259, 0.99970, 0.80370, 0.13742, 0.05735
-0.00054, 0.00588, -0.02558, 0.99966, 0.89220, 0.17166, 0.07947
-0.00162, 0.00895, -0.03232, 0.99944, 0.99187, 0.19450, 0.07739
0.00346, 0.00609, -0.04096, 0.99914, 1.07514, 0.20143, 0.09280
0.01222, 0.01637, -0.04019, 0.99898, 1.15932, 0.22614, 0.11709
0.01027, 0.01520, -0.03708, 0.99914, 1.22621, 0.24147, 0.11850
0.00566, 0.00847, -0.02748, 0.99957, 1.31729, 0.24204, 0.09966
0.00436, -0.01008, -0.00865, 0.99990, 1.40846, 0.24581, 0.08686
0.01102, -0.02587, 0.01697, 0.99946, 1.49123, 0.25360, 0.12880
0.01248, -0.02834, 0.04850, 0.99834, 1.56185, 0.26392, 0.13603
0.01213, -0.03309, 0.07315, 0.99670, 1.63911, 0.29056, 0.14880
0.00967, -0.03650, 0.08776, 0.99543, 1.73972, 0.32108, 0.14396
0.00573, -0.04145, 0.09110, 0.99496, 1.83890, 0.35569, 0.16337
-0.00363, -0.04675, 0.08397, 0.99536, 1.92335, 0.39849, 0.15684
-0.00497, -0.04302, 0.07442, 0.99629, 2.03520, 0.42650, 0.21281
-0.00470, -0.03380, 0.06372, 0.99738, 2.13601, 0.46531, 0.20068
0.01133, -0.03535, 0.05204, 0.99796, 2.23744, 0.46125, 0.23179
0.02113, -0.03340, 0.04871, 0.99803, 2.34101, 0.47307, 0.22911
0.02538, -0.03534, 0.05000, 0.99780, 2.44127, 0.46659, 0.22129
0.02089, -0.04507, 0.06322, 0.99676, 2.51999, 0.46193, 0.20694
0.01788, -0.05256, 0.08765, 0.99460, 2.63032, 0.46012, 0.23876
0.00987, -0.05907, 0.11275, 0.99182, 2.72535, 0.49047, 0.23442
0.01520, -0.06052, 0.13322, 0.98912, 2.80778, 0.52703, 0.27145
0.01950, -0.06253, 0.14464, 0.98731, 2.89510, 0.57711, 0.27310
0.01813, -0.06348, 0.14437, 0.98732, 2.99291, 0.63999, 0.28062
0.01352, -0.06554, 0.13247, 0.98893, 3.10610, 0.68931, 0.29672
0.01601, -0.05826, 0.12039, 0.99089, 3.20948, 0.71295, 0.32500
0.02776, -0.04833, 0.11152, 0.99220, 3.31309, 0.73745, 0.37395
0.03285, -0.03174, 0.10446, 0.99348, 3.42578, 0.78247, 0.37637
0.03189, -0.02613, 0.10019, 0.99411, 3.52109, 0.79825, 0.35858
0.02692, -0.02816, 0.10494, 0.99372, 3.62900, 0.81822, 0.33816
0.02426, -0.03697, 0.11696, 0.99215, 3.73613, 0.84538, 0.34240
0.02455, -0.04656, 0.13339, 0.98967, 3.81711, 0.88223, 0.38030
0.02894, -0.04761, 0.14865, 0.98732, 3.91303, 0.91860, 0.43157
0.02821, -0.05060, 0.15677, 0.98594, 3.99597, 0.96816, 0.41910
0.02704, -0.05463, 0.15678, 0.98575, 4.09102, 1.04132, 0.43900
0.02560, -0.05923, 0.14192, 0.98777, 4.20689, 1.09860, 0.45892
0.02802, -0.05357, 0.11928, 0.99102, 4.32466, 1.14476, 0.47900
0.04100, -0.04529, 0.09210, 0.99387, 4.44141, 1.15936, 0.52440
0.04571, -0.02665, 0.06556, 0.99644, 4.56244, 1.16511, 0.52472
0.03845, -0.01830, 0.03951, 0.99831, 4.68987, 1.18569, 0.50436
0.02924, -0.01752, 0.02771, 0.99903, 4.81299, 1.19359, 0.49188
