"i";"rd";"td"
363;0.00322346;0.00185397
364;0.00384674;0.00147506
365;0.00168704;0.00360183
366;0.00475827;0.0104987
367;0.00741806;0.000771646
368;0.00517508;0.000264218
369;0.00801173;0.0027964
370;0.00308412;0.00413184
371;0.00111893;0.0043497
372;0.00459368;0.00209774
373;0.00319303;0.0032214
374;0.00306062;0.00814784
375;0.00246494;0.000165953
376;0.0036064;0.00191119
377;0.000220421;0.00160352
378;0.00246706;0.0034001
379;0.00152651;0.00542326
380;0.000269953;0.0055337
381;0.0101405;0.00168342
382;0.00281003;0.000387108
383;0.00289326;0.00101676
384;0.00628424;0.00147306
385;0.0076063;0.00113253
386;0.00108477;0.00309365
387;0.00387674;0.00288158
388;0.00420867;0.00259347
389;0.00172582;0.00199677
390;0.00281372;0.00346125
391;0.0066691;0.00786167
392;0.00582799;0.00314397
393;0.00713194;0.00123955
394;0.0010278;0.00316197
395;0.00477052;0.00210138
396;0.00318086;0.00163029
397;0.0025806;0.0046146
398;0.00283672;0.00783903
399;0.00397389;0.0150802
400;0.00652503;0.00554779
401;0.000611688;0.00399049
402;0.00470262;0.0140203
403;0.00227888;0.00238716
404;0.00413174;0.0158285
405;0.00373731;0.0115878
406;0.00220667;0.00986216
407;0.00359853;0.00926605
408;0.0100119;0.0186325
409;0.00447262;0.0204674
410;0.0028808;0.000142372
411;0.00520861;0.0026167
412;0.0019096;0.00660218
413;0.00617556;0.0141199
414;0.00360392;0.0125732
415;0.00204123;0.00772634
416;0.00066808;0.00728159
417;0.000736763;0.0153945
418;0.00524195;0.0151283
419;0.00462368;0.0169849
420;0.00027225;0.00254203
421;0.00252042;0.0099733
422;0.0012116;0.00488152
423;0.00100636;0.00309062
424;0.00199157;0.0166613
425;0.000314539;0.0268799
426;0.00120894;0.00270493
427;0.00333399;0.016648
428;0.00408852;0.00685921
429;0.0019481;0.00271451
430;0.00369574;0.00889871
431;0.00243122;0.00229097
432;0.00737527;0.00780507
433;0.00456258;0.0138458
434;0.00127392;0.0128404
435;0.00214479;0.0101659
436;0.00165753;0.00214657
437;0.000730666;0.00119642
438;0.00134214;0.00479677
439;0.000574719;0.015796
440;0.00525816;0.0100619
441;0.00534762;0.00761938
442;0.00421117;0.0180977
443;0.00227654;0.000637291
444;0.00256039;0.0125415
445;0.000231829;0.0221594
446;0.00448947;0.0154594
447;0.000382627;0.00354534
448;0.00053518;0.00307455
449;0.00590493;0.00853257
450;0.00278045;0.00758794
451;0.000817786;0.0143252
452;0.00327078;0.0122382
453;0.00187479;0.0231723
454;0.00487897;0.00163689
455;0.00414421;0.00863429
456;0.000957829;0.0104289
457;0.00257117;0.00764096
458;0.00266058;0.00567981
459;0.00684635;0.000671798
460;0.00314592;0.00147227
461;0.00573779;0.0215899
462;0.00103962;0.00421947
463;0.00894472;0.0175953
464;0.00273365;0.00041963
465;0.00284071;0.0126002
466;0.00615659;0.0101879
467;0.00301698;0.00197645
468;0.00298261;0.0129732
469;0.00547043;0.00230156
470;0.00534624;5.29299e-05
471;0.00253599;0.00785358
