938.22, 0, 0, 0, 1, 0, 0, 0
938.42, -0.00018251, -0.0012022, 0.0042091, 0.99999, 0.098566, 0.0027945, 0.008095
938.62, -0.00010137, -0.0018879, 0.0050561, 0.99999, 0.19244, 0.011815, 0.011921
938.82, 0.0011605, -0.0035416, 0.0088577, 0.99995, 0.30151, 0.013882, 0.0074053
939.02, 0.0016853, -0.0034808, 0.010227, 0.99994, 0.36776, 0.025229, 0.019876
939.22, 0.0025163, -0.0040697, 0.012079, 0.99992, 0.4525, 0.025043, 0.022994
939.42, 0.0029859, -0.0051944, 0.014992, 0.99987, 0.54539, 0.022835, 0.020932
939.62, 0.0024536, -0.006982, 0.020021, 0.99977, 0.63028, 0.030209, 0.028813
939.82, 0.0037462, -0.0072087, 0.01999, 0.99977, 0.71976, 0.036221, 0.028353
940.02, 0.0039192, -0.0084783, 0.023215, 0.99969, 0.81431, 0.020682, 0.023127
940.22, 0.0044389, -0.0093117, 0.024813, 0.99964, 0.8966, 0.027491, 0.023135
940.42, 0.004942, -0.010257, 0.02642, 0.99959, 0.98207, 0.02875, 0.022377
940.62, 0.0037809, -0.010538, 0.028606, 0.99953, 1.0518, 0.02363, 0.026566
940.82, 0.0044427, -0.011737, 0.030345, 0.99946, 1.1375, 0.023908, 0.020205
