938.22100, 0.00000, 0.00000, 0.00000, 1.00000, 0.00000, 0.00000, 0.00000
938.42100, 0.00057, -0.00208, 0.00188, 1.00000, 0.09289, -0.00031, 0.00075
938.62100, 0.00206, -0.00452, 0.00411, 0.99998, 0.17100, 0.00441, -0.00082
938.82100, 0.00128, -0.00701, 0.00746, 0.99995, 0.26496, -0.00043, 0.00333
939.02100, 0.00107, -0.01022, 0.01037, 0.99989, 0.35908, -0.00103, 0.00904
939.22200, 0.00190, -0.01241, 0.01454, 0.99982, 0.45790, 0.00374, -0.00181
939.42100, 0.00188, -0.01493, 0.02052, 0.99968, 0.56737, 0.00445, -0.00346
939.62100, 0.00143, -0.01657, 0.02436, 0.99957, 0.66726, 0.00804, 0.00154
939.82200, 0.00119, -0.01794, 0.02834, 0.99944, 0.76040, 0.01350, 0.00822
940.02200, 0.00088, -0.01987, 0.03325, 0.99925, 0.86029, 0.01758, 0.01317
940.22200, 0.00056, -0.02124, 0.03684, 0.99910, 0.95048, 0.02170, 0.01786
940.42200, 0.00035, -0.02274, 0.04068, 0.99891, 1.04830, 0.02845, 0.02273
940.62200, 0.00007, -0.02451, 0.04481, 0.99869, 1.13826, 0.03453, 0.02739
940.82100, -0.00016, -0.02592, 0.04813, 0.99850, 1.22782, 0.04245, 0.03213
941.02100, -0.00046, -0.02741, 0.05201, 0.99827, 1.32949, 0.05223, 0.03928
941.22200, -0.00076, -0.02908, 0.05600, 0.99801, 1.42185, 0.06094, 0.04455
941.42100, -0.00090, -0.03038, 0.05892, 0.99780, 1.50804, 0.07159, 0.04927
941.62100, -0.00111, -0.03217, 0.06308, 0.99749, 1.60866, 0.08147, 0.05472
941.82100, -0.00140, -0.03378, 0.06682, 0.99719, 1.70137, 0.09044, 0.06077
942.02200, -0.00128, -0.03529, 0.06983, 0.99693, 1.79782, 0.10490, 0.06571
942.22200, -0.00152, -0.03711, 0.07386, 0.99658, 1.88883, 0.11691, 0.07204
942.42100, -0.00154, -0.03852, 0.07710, 0.99628, 1.97810, 0.13041, 0.07809
